"","ZIPCODE","POPULATION","AREA","COUNTY","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","density"
"40","10037",16931,7188980.95342821,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.55
"26","10024",58521,22877335.4639181,"New York",NA,NA,NA,NA,NA,NA,NA,NA,936,944.666666666667,1069.83333333333,1098.66666666667,1182.5,1021.58333333333,1001.08333333333,1046.33333333333,1091.69230769231,1188.58333333333,1300.25,1355.75,1464.83333333333,1476,25.58
"127","10454",37466,31063613.325308,"Bronx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.06
"28","10026",34313,11092681.4884746,"New York",NA,NA,NA,NA,NA,NA,NA,NA,527.333333333333,547.916666666667,675.083333333333,682.666666666667,728.333333333333,631,635.083333333333,624.833333333333,633.615384615385,696,796.666666666667,894.666666666667,1020.83333333333,1037.6,30.93
"38","10035",34884,15445657.3340813,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592.777777777778,660.5,582.416666666667,616.083333333333,599.25,605.923076923077,641.583333333333,720.833333333333,785.25,908.416666666667,974.4,22.58
"50","10048",0,972788.42397429,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"27","10025",96054,19631043.8225259,"New York",NA,NA,NA,NA,NA,NA,NA,NA,678.111111111111,752.916666666667,885.75,856.666666666667,895.416666666667,838.833333333333,861.916666666667,879,924.461538461538,1027.25,1133.33333333333,1195,1317.83333333333,1295.8,48.93
"208","11357",38944,77359110.6091442,"Queens",NA,NA,NA,NA,NA,NA,NA,292.5,340.5,400.916666666667,463.083333333333,450.5,443.75,415.166666666667,416.5,402.416666666667,398.692307692308,411.5,450.416666666667,472.25,512.916666666667,551,5.03
"31","10029",77503,22963435.6769661,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664.444444444444,661.666666666667,733.166666666667,641,701.166666666667,717,740.846153846154,770.416666666667,861.5,859.583333333333,965.833333333333,1046.4,33.75
"1","00083",25,38300990.399943,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
"207","11356",23379,43321159.272031,"Queens",NA,NA,NA,NA,NA,NA,NA,240,273.833333333333,316.166666666667,384.416666666667,372.833333333333,369.5,342.25,349.666666666667,340.083333333333,333.615384615385,339.916666666667,370.833333333333,400.75,453.666666666667,492.4,5.4
"210","11359",0,6567982.08534197,"Queens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"211","11360",18973,38834824.1713414,"Queens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.89
